id,SalePrice
2658,107463.30642153851
2718,147456.32207725628
2414,220735.88899889775
1989,105615.80779735773
625,172733.78676596755
333,92546.79129168805
1327,110856.13368042656
858,154566.85481075756
95,180881.56309530168
1568,172197.744106825
2482,157710.0972723434
1364,119724.76227357966
2584,150814.81823953998
818,268728.76398168
2673,165067.72988609076
2089,125386.34318043794
1297,146152.1299029805
790,119482.21270198865
2616,187621.29867132535
720,183394.44731950856
222,151925.27197670666
557,124543.40484455891
1148,196588.637406116
2766,182946.7898759598
534,189720.05500151316
1452,123257.46273119102
630,119709.29536782874
2648,109673.65832842662
125,152587.43087018759
1904,75538.28363489258
1670,114046.99115242634
756,107072.90292332112
717,194133.24441748112
1032,156146.1023514987
852,214110.26955709694
1731,184395.28594978355
2639,122168.87872617735
2071,98227.2005017739
1267,114544.95817014242
1851,183449.30871614348
567,154238.57640577183
2439,203482.27235216103
1898,147361.4638146656
647,155060.2874068671
2256,219225.02852199684
979,93270.49581671116
1444,221926.5008399287
2485,118137.94430145902
157,126916.73518448966
88,119749.48934401305
2003,114032.95785170035
186,183413.3792505471
1425,242861.68478370798
2695,121815.64221838469
738,108654.11699461997
395,158510.68050745735
1353,167466.62980337805
1878,135991.25519448108
390,161016.89223269522
1456,242988.81708722704
1103,307439.856060673
1387,128928.30279784818
2070,145676.71948857774
1199,182601.5537197435
2479,169627.84773674814
501,290746.54704508174
2362,100691.52198902139
1718,192260.55147004564
2188,86153.30194017712
1483,160813.25419659333
2557,93464.9333245001
437,377052.0767367459
2224,206361.66065968334
1628,168919.467280032
397,139416.978896918
587,193089.0538941723
2182,1120858.2225595263
971,140950.13311665354
2611,142116.0372611016
1887,105367.44096858874
2399,349877.53571697284
2148,193994.82244401268
304,122498.64413104526
1997,125627.54236773374
2817,122458.10657133136
1431,211941.10127729664
427,338882.66946633003
263,124894.51686930176
598,166210.8979436511
2895,219982.54078917496
687,154268.09830249907
1822,132930.82485265212
2191,99883.1958355472
179,129051.73724273301
1009,193704.90054894047
2010,140444.21984894224
1991,143851.08410361857
1411,171176.49628406542
1721,215455.57080972393
1144,190797.45502219352
593,220893.1923335674
575,308619.788307119
1249,164006.96237182806
1604,126341.93979002953
1064,586841.9831927266
1923,149512.83873790936
1988,101875.46940806131
2325,173783.39385033803
114,202401.9029327662
2700,163801.24702041544
217,130244.16584682306
343,174376.75116622317
386,216310.24180026914
2005,120022.06723549135
2908,149740.4280543039
1814,247826.500681536
2446,571594.290236857
208,131095.96325190866
1679,106230.75846912593
822,337172.5354292165
6,197841.85751490653
1781,413610.96823516
2397,309594.91384162044
2340,331241.5851838307
1618,179692.28499591348
2843,128975.41543644307
1061,350078.28670511267
2786,123591.70801567554
1935,134343.32127745962
1341,128960.15128657853
521,277138.40672968084
2136,134048.06536969388
996,208970.2246002822
227,148094.0486383498
135,179259.97819348815
1167,169424.96835395193
294,245920.62648076264
1776,200496.08600123302
540,174305.13277519017
1717,194898.4437943594
2303,133668.95569938145
116,186980.11874769014
127,133874.9589016166
1371,133512.74323532212
1014,135546.68225397603
1507,108470.58447049758
702,116036.1466426569
750,146345.8815424423
261,156445.6085362797
1559,88249.06766754742
577,211350.52897275274
2812,199253.80136248798
2080,154168.43675741382
1368,110141.26358207753
2376,126455.4521053422
659,107431.48176027321
1235,136220.8597093599
332,80882.98287417306
1917,140840.33340075787
2094,250851.69987692413
1460,261155.68090939842
1471,223330.77076549633
1509,120806.92378388977
1922,134555.63202237582
433,565623.8540145515
460,247278.86897276164
1116,258797.56737389555
1137,167876.38959239912
53,166773.70240801625
2354,273917.2172963915
1475,193948.84403878142
1761,601452.5825609013
842,143049.74822284718
2739,166219.15304924728
2509,148457.8230513754
1007,195784.3141755746
2610,189609.9038738047
1952,85297.14683861517
2719,153630.7217813355
2921,89737.21686253516
1966,142835.11744226454
292,109339.92257716709
1204,178423.81066062022
1829,271828.11307496193
2419,183422.31656877932
391,146070.32020663776
798,110186.49256927414
481,196088.83813083835
193,193745.2283403208
555,130494.07630802106
899,80371.56459420959
2357,188704.89526343334
328,118701.87785707078
1356,123939.34507198096
1154,110898.97810762201
1730,174312.2028835088
2249,147805.6478671056
1119,312551.86109738384
2856,138161.61438248336
1394,134715.66114523102
2587,125274.9744117458
61,320256.3304339674
2661,160778.56073202656
2711,133399.22679435124
1147,173013.30125531257
757,124228.84493786126
2623,110609.6716942156
2378,137076.44406188626
1413,142607.3452306238
1722,207836.14809126538
1112,217820.4629714987
1623,203100.78522156127
1201,183968.96462826972
1513,109394.38892017945
957,347557.04577650275
1171,271907.46101396135
1145,188481.66815471696
2726,247433.76794396274
703,136007.6229005103
760,87338.72823023866
1964,144932.93068227975
2512,174838.8270386662
159,134869.6834148428
1281,166123.0440516006
468,181103.6770891253
290,125457.32381711419
665,96641.21980011786
1463,247883.84142934525
1792,218228.73572695922
923,156792.485217875
500,248976.97576088278
1408,181798.89004882728
331,78371.48543610435
170,116775.27564572432
2192,96835.29614393032
2571,252276.75047757212
2314,179339.50857176233
2647,89219.00347496339
422,446378.2335056565
2457,399669.23287227534
1838,188889.575342805
2805,248004.00601346113
1645,161351.8195446064
1711,290332.30858995975
2825,230708.7373236431
322,314301.1560775677
2103,264028.91896802327
342,120372.17779930381
600,125062.85148051761
488,180430.27867588217
1725,322699.8007946482
2246,321104.5862127525
2847,155468.90879562023
806,235667.37719853825
530,223316.14538129442
963,185690.1459102773
2678,98461.93248219513
171,93467.95580511817
2401,458193.21104234573
805,219561.8333909572
2259,230103.2468258597
1748,181419.76989941165
